User,Text
@ThưPhạm-e7n,cháy khét lẹt Thiên ơi
@cualuoichongmuoisnb,"Quá hay và đẳng cấp, tối qua vừa phơi đồ vừa vô tình nghe ai dè dính luôn"
@ThuậnVăn-r4f,z
@vominhnhat411,Đoạn intro này bị thiếu niếu đưa hết lên được từ khúc dạo đầu nghe được hết đoạn sxp thì mới trọn vẹn. Mình kiếm được đoạn trên Tiktok nghe hoài luôn
@h.m-i7.0i96,"má, quả cuối bài phê thiệt"
@MinhquenNguyentran,♥️
@do_gia,❤️
@hienngo4317,Xin info áo anh Quốc Thiên mang với mn ơi😢
@OanhAi-r8r,Hay quá ❤
@quybui400,"Anh biết là buồn lắm chứ
Khi phải tìm đến cơn say như vậy
Say đến nhạt nhòa thổn thức
Để nỗi đau giống như hạnh phúc
Nước mắt tràn vào trong chiếc cốc trên tay
Chỉ muốn say để quên đi những đoạ đày
Một kẻ yếu đuối đóng vai một người say
Anh đã cố giả vờ hạnh phúc
Để tháng năm kia quay lưng giã từ
Nhưng càng cố lại càng đau đớn
Khiến vết thương kia thêm rộng lớn
Kẻ say tình thì làm gì có tháng năm đâu
Chỉ giống như toa cuối ga tàu
Mãi mãi là người đến sau
Anh đã cố gắng ngần mấy năm ấy trôi qua đổi lấy được gì
Buồn đau là anh cay đắng vẫn chỉ là anh
Anh muốn một lần em nói xem
Hạnh phúc là gì đây em hỡi
Tình yêu này chẳng đáng níu giữ hay sao
Bao lời dối trá anh đã tha thứ cho em bằng tất cả
Bỏ hết ngoài tai những lời nói người đời dèm pha
Nhưng đến cuối cùng anh cũng hiểu ra
Hạnh phúc là ảo mộng giữa chúng ta
Chỉ còn lại một nỗi đau xa lạ
Anh đã cố giả vờ hạnh phúc
Để tháng năm kia quay lưng giã từ
Nhưng càng cố lại càng đau đớn
Khiến vết thương kia thêm rộng lớn
Kẻ say tình thì làm gì có tháng năm đâu
Chỉ giống như toa cuối ga tàu
Mãi mãi là người đến sau
Anh đã cố gắng ngần mấy năm ấy trôi qua đổi lấy được gì
Buồn đau là anh cay đắng vẫn chỉ là anh
Anh muốn một lần em nói xem
Hạnh phúc là gì đây em hỡi
Tình yêu này chẳng đáng níu giữ hay sao
Bao lời dối trá
Anh đã tha thứ cho em bằng tất cả
Bỏ hết ngoài tai những lời nói người đời dèm pha
Nhưng đến cuối cùng anh cũng hiểu ra
Hạnh phúc là ảo mộng giữa chúng ta
Chỉ còn lại một nỗi đau xa lạ
Đến cuối cùng anh cũng hiểu ra
Chẳng có hạnh phúc giữa chúng ta
Chỉ còn lại một nỗi đau xa lạ"
@dinknguyen,"Anh biết là buồn lắm chứ
Khi phải tìm đến cơn say như vậy
Say đến nhạt nhòa thổn thức
Để nỗi đau giống như hạnh phúc
Nước mắt tràn vào trong chiếc cốc trên tay
Chỉ muốn say để quên đi những đoạ đày
Một kẻ yếu đuối đóng vai một người say
Anh đã cố giả vờ hạnh phúc
Để tháng năm kia quay lưng giã từ
Nhưng càng cố lại càng đau đớn
Khiến vết thương kia thêm rộng lớn
Kẻ say tình thì làm gì có tháng năm đâu
Chỉ giống như toa cuối ga tàu
Mãi mãi là người đến sau
Anh đã cố gắng ngần mấy năm ấy trôi qua đổi lấy được gì
Buồn đau là anh cay đắng vẫn chỉ là anh
Anh muốn một lần em nói xem
Hạnh phúc là gì đây em hỡi
Tình yêu này chẳng đáng níu giữ hay sao
Bao lời dối trá anh đã tha thứ cho em bằng tất cả
Bỏ hết ngoài tai những lời nói người đời dèm pha
Nhưng đến cuối cùng anh cũng hiểu ra
Hạnh phúc là ảo mộng giữa chúng ta
Chỉ còn lại một nỗi đau xa lạ
Anh đã cố giả vờ hạnh phúc
Để tháng năm kia quay lưng giã từ
Nhưng càng cố lại càng đau đớn
Khiến vết thương kia thêm rộng lớn
Kẻ say tình thì làm gì có tháng năm đâu
Chỉ giống như toa cuối ga tàu
Mãi mãi là người đến sau
Anh đã cố gắng ngần mấy năm ấy trôi qua đổi lấy được gì
Buồn đau là anh cay đắng vẫn chỉ là anh
Anh muốn một lần em nói xem
Hạnh phúc là gì đây em hỡi
Tình yêu này chẳng đáng níu giữ hay sao
Bao lời dối trá
Anh đã tha thứ cho em bằng tất cả
Bỏ hết ngoài tai những lời nói người đời dèm pha
Nhưng đến cuối cùng anh cũng hiểu ra
Hạnh phúc là ảo mộng giữa chúng ta
Chỉ còn lại một nỗi đau xa lạ
Đến cuối cùng anh cũng hiểu ra
Chẳng có hạnh phúc giữa chúng ta
Chỉ còn lại một nỗi đau xa lạ"
