User,Text
@SaigonTếu,"Cùng Phương Nam chào đón show hài độc thoại tháng 12  này với:
📍Show Không Tếu Không Về (17.12): https://tinyurl.com/KHONGTEUKHONGVEInstagram
📍Show Hài Độc Thoại lớn TẾU NO-END (24.12 ) https://tinyurl.com/TEUNOENDYoutube"
@anhquochuynh3897,"thật sự là quá hay, cùng một clip, coi đi coi lại tới lần thứ 10 vẫn cười banh nhà 😂😂"
@kimkimnhung118,❤😂 Phương Nam xuất sắc 🎉🎉
@achihuynh8104,Set này hay quá dug là phương nam❤❤❤
@huynhtien123,Quá hay quá giỏi. ❤🎉
@ThuyNguyen-mo8lk,Cái này là hài độc hại chứ không phải độc thoại ah😅
@106-vanlebaovy7,khúc đầu cảm giacs hơi vô duyên ...
@Gfi-be9pd,"Khúc 8:12  nghe tên a Long mà PN thả miếng a Long a Long huyền thoại giống trong phim Cửu Long Băng Thất của Trịnh Y Kiện nữa thì quá xuất sắc luôn chứ khịa cái đầu của ảnh hoài thì hơi chán, chắc do mình khó tính. 😅😅😅"
@KimHuynh-t1o,Em thấy anh Nam nói chuyện rất duyên 😊
@jusethieu,Ông Long chuyến này về nổi tiếng hơn ông Nam luôn
@thucnguyenvan5783,Khán giả cười mất kiểm soát😢
@VanChau-o3j,Đậm chất hài và cũng vô cùng duyên dáng.
@GiaPhatt02,"3:00 Lông nhiều sinh lý mạnh -> men
Ủa sao mình cx lông mà mình bot ta :))"
@nguyenthanhtinh2774,Có thể là replay liên tục
@nmhung2025,"Tại sao cứ phải mang phụ huynh bạn vào đây để cười? Tôi thấy nó không phù hợp. Và tôi đã không thể cười.
Đồng thời tôi cũng không muốn xem tiếp các vìdeo khác của bạn."
@AnhTruong-np2df,Phần này hài dã man😂
@datho2938,omg
@OanhTu-n4u,"Hay quá em trai, các em diễn rất thu hút, cho em triệu like"
@khanhtrinhle4459,hh
@CLarkzzClarkzz,"Diễn nay kỳ quá,vừa ồn vừa có mấy cái miếng hơi vô duyên nx"
@thuho3146,Quá duyên. Xem hoài không chán
@tmga6117,Bạn này diễn ko hay :)))
@teamchayloanhquanh7625,Nam ơi là Nam =)) cười đé ra máo
@tuvu5288,Thật sự bây giờ mới hiểu gánh team là như thế nào. Ông này định 1mk gánh cả sg tếu thật hã😂😂😂
@voduykhanh20,"mình nghĩ nên mời anh Long ở show diễn sau là ok, ảnh hỗ trợ bạn Nam quá nhiều, và làm ảnh tổn thương nữa"
@NhanNguyen-uh2sf,Tôi sẽ không bao giờ coi Sài gòn tếu nữa .... ăn cơm không yên nổi ăn 1 muỗng mà sặc tới cổ họng 🥶
@khangvo-j5d,"""tên long mà ko có long ha"" hit hard🔥"
@duyetthaobui4851,11:06 xác nhận chuẩn nha 😂
@viethungnguyen6954,"Đỉnh, coi đi coi lại vẫn hay🎉"
@binhluong026,coi vui vãi
@thuhaotran17,Tích cực cái tiêu cực lên thì đó là hài chân chính
@p.p.p9226,coi đi con lại mấy lần nhưng vẫn buồn cười như lần đầu thì thật sự lần này anh Nam diễn rất hay nha 
@MozzareIIa30,"Cần nhiều hơn mấy cái roast khán giả nha :)))) những người bỏ tiền ra đi coi show này chứng tỏ họ có good sense of humor, cho nên trong 1 phạm vi nào đó thì roast + tương tác với khán giả rất hay, và mảng miếng này là vô hạn. Chúc Nam và SG tếu thành công"
@DungTran-yp9ce,"Nói nhỏ giúp mình  cái tiệm nào với Phương Nam ơi. Địa chỉ nữa nhé. Chúc các bạn luôn vui, khỏe và thành công."
@thisisTopwife,coi lại 6 lần rồi và chưa có dấu hiệu ngưng lại
@tranlenhan6422,2:09 có thể trở thành meme
@PINANDNA,Cười điêng luôn trời 😂😂😂
