User,Text,emoji_pos,emoji_neg,emoji_neu,num_emoji_pos,num_emoji_neg,num_emoji_neu,cleaned_text,tokenized,label
@SaigonTếu,"Cùng Phương Nam chào đón show hài độc thoại tháng 12  này với:
📍Show Không Tếu Không Về (17.12): https://tinyurl.com/KHONGTEUKHONGVEInstagram
📍Show Hài Độc Thoại lớn TẾU NO-END (24.12 ) https://tinyurl.com/TEUNOENDYoutube",,,,0,0,0,phương nam chào_đón show hài độc_thoại 12 show không_tếu không_về 1712 show hài độc_thoại tếu noend 2412,"['cùng', 'phương', 'nam', 'chào_đón', 'show', 'hài', 'độc_thoại', 'tháng', '12', 'này', 'với', 'show', 'không_tếu', 'không_về', '1712', 'show', 'hài', 'độc_thoại', 'lớn', 'tếu', 'noend', '2412']",2
@anhquochuynh3897,"thật sự là quá hay, cùng một clip, coi đi coi lại tới lần thứ 10 vẫn cười banh nhà 😂😂",😂😂,,,2,0,0,thật_sự clip coi đi coi 10 cười banh,"['thật_sự', 'là', 'quá', 'hay', 'cùng', 'một', 'clip', 'coi', 'đi', 'coi', 'lại', 'tới', 'lần', 'thứ', '10', 'vẫn', 'cười', 'banh', 'nhà']",1
@kimkimnhung118,❤😂 Phương Nam xuất sắc 🎉🎉,❤😂🎉🎉,,,4,0,0,phương nam xuất_sắc,"['phương', 'nam', 'xuất_sắc']",1
@achihuynh8104,Set này hay quá dug là phương nam❤❤❤,❤❤❤,,,3,0,0,set dug phương nam,"['set', 'này', 'hay', 'quá', 'dug', 'là', 'phương', 'nam']",1
@huynhtien123,Quá hay quá giỏi. ❤🎉,❤🎉,,,2,0,0,giỏi,"['quá', 'hay', 'quá', 'giỏi']",1
@ThuyNguyen-mo8lk,Cái này là hài độc hại chứ không phải độc thoại ah😅,😅,,,1,0,0,hài độc_hại không_phải độc_thoại ah,"['cái', 'này', 'là', 'hài', 'độc_hại', 'chứ', 'không_phải', 'độc_thoại', 'ah']",1
@106-vanlebaovy7,khúc đầu cảm giacs hơi vô duyên ...,,,,0,0,0,khúc đầu_cảm giacs_hơi vô_duyên,"['khúc', 'đầu_cảm', 'giacs_hơi', 'vô_duyên']",2
@Gfi-be9pd,"Khúc 8:12  nghe tên a Long mà PN thả miếng a Long a Long huyền thoại giống trong phim Cửu Long Băng Thất của Trịnh Y Kiện nữa thì quá xuất sắc luôn chứ khịa cái đầu của ảnh hoài thì hơi chán, chắc do mình khó tính. 😅😅😅",😅😅😅,,,3,0,0,khúc 812 a long pn thả miếng a long a long huyền_thoại phim cửu long băng thất trịnh_y_kiện xuất_sắc khịa đầu ảnh hoài hơi chán,"['khúc', '812', 'nghe', 'tên', 'a', 'long', 'mà', 'pn', 'thả', 'miếng', 'a', 'long', 'a', 'long', 'huyền_thoại', 'giống', 'trong', 'phim', 'cửu', 'long', 'băng', 'thất', 'của', 'trịnh_y_kiện', 'nữa', 'thì', 'quá', 'xuất_sắc', 'luôn', 'chứ', 'khịa', 'cái', 'đầu', 'của', 'ảnh', 'hoài', 'thì', 'hơi', 'chán', 'chắc', 'do', 'mình', 'khó', 'tính']",1
@KimHuynh-t1o,Em thấy anh Nam nói chuyện rất duyên 😊,😊,,,1,0,0,nam nói_chuyện duyên,"['em', 'thấy', 'anh', 'nam', 'nói_chuyện', 'rất', 'duyên']",1
@jusethieu,Ông Long chuyến này về nổi tiếng hơn ông Nam luôn,,,,0,0,0,long chuyến nổi_tiếng nam,"['ông', 'long', 'chuyến', 'này', 'về', 'nổi_tiếng', 'hơn', 'ông', 'nam', 'luôn']",2
